="",="n_startpop_5564",="n_startpop_6574",="n_startpop_65p",="n_startpop_7584",="n_startpop_85p",="n_startpop_all",="n_startpop_blk",="n_startpop_college",="n_startpop_f",="n_startpop_his",="n_startpop_his_f",="n_startpop_hsless",="n_startpop_m",="n_startpop_wht",="p_cogstate1_5564",="p_cogstate1_6574",="p_cogstate1_65p",="p_cogstate1_7584",="p_cogstate1_85p",="p_cogstate1_all",="p_cogstate1_blk",="p_cogstate1_f",="p_cogstate1_his",="p_cogstate1_m",="p_cogstate1_wht",="n_cogstate1_5564",="n_cogstate1_6574",="n_cogstate1_65p",="n_cogstate1_7584",="n_cogstate1_85p",="n_cogstate1_Age55l",="n_cogstate1_all",="n_cogstate1_blk",="n_cogstate1_f",="n_cogstate1_his",="n_cogstate1_m",="n_cogstate1_wht",="p_cogstate2_5564",="p_cogstate2_6574",="p_cogstate2_65p",="p_cogstate2_7584",="p_cogstate2_85p",="p_cogstate2_all",="p_cogstate2_blk",="p_cogstate2_college",="p_cogstate2_f",="p_cogstate2_his",="p_cogstate2_his_f",="p_cogstate2_hsless",="p_cogstate2_m",="p_cogstate2_wht",="n_cogstate2_5564",="n_cogstate2_6574",="n_cogstate2_65p",="n_cogstate2_7584",="n_cogstate2_85p",="n_cogstate2_all",="n_cogstate2_blk",="n_cogstate2_college",="n_cogstate2_f",="n_cogstate2_his",="n_cogstate2_his_f",="n_cogstate2_hsless",="n_cogstate2_m",="n_cogstate2_wht",="n_nhmliv_dem_5564",="n_nhmliv_dem_6574",="n_nhmliv_dem_65p",="n_nhmliv_dem_7584",="n_nhmliv_dem_85p",="n_nhmliv_dem_Age55l",="n_nhmliv_dem_all",="n_nhmliv_dem_blk",="n_nhmliv_dem_f",="n_nhmliv_dem_his",="n_nhmliv_dem_m",="n_nhmliv_dem_wht",="s_helphoursyr_dem_5564",="s_helphoursyr_dem_6574",="s_helphoursyr_dem_65p",="s_helphoursyr_dem_7584",="s_helphoursyr_dem_85p",="s_helphoursyr_dem_Age55l",="s_helphoursyr_dem_all",="s_helphoursyr_dem_blk",="s_helphoursyr_dem_f",="s_helphoursyr_dem_his",="s_helphoursyr_dem_m",="s_helphoursyr_dem_wht",="t_totmd_dem_5564",="t_totmd_dem_6574",="t_totmd_dem_65p",="t_totmd_dem_7584",="t_totmd_dem_85p",="t_totmd_dem_Age55l",="t_totmd_dem_all",="t_totmd_dem_blk",="t_totmd_dem_f",="t_totmd_dem_his",="t_totmd_dem_m",="t_totmd_dem_wht",="t_mcare_dem_5564",="t_mcare_dem_6574",="t_mcare_dem_65p",="t_mcare_dem_7584",="t_mcare_dem_85p",="t_mcare_dem_Age55l",="t_mcare_dem_all",="t_mcare_dem_blk",="t_mcare_dem_f",="t_mcare_dem_his",="t_mcare_dem_m",="t_mcare_dem_wht",="t_caidmd_dem_5564",="t_caidmd_dem_6574",="t_caidmd_dem_65p",="t_caidmd_dem_7584",="t_caidmd_dem_85p",="t_caidmd_dem_Age55l",="t_caidmd_dem_all",="t_caidmd_dem_blk",="t_caidmd_dem_f",="t_caidmd_dem_his",="t_caidmd_dem_m",="t_caidmd_dem_wht",="t_oopmd_dem_5564",="t_oopmd_dem_6574",="t_oopmd_dem_65p",="t_oopmd_dem_7584",="t_oopmd_dem_85p",="t_oopmd_dem_Age55l",="t_oopmd_dem_all",="t_oopmd_dem_blk",="t_oopmd_dem_f",="t_oopmd_dem_his",="t_oopmd_dem_m",="t_oopmd_dem_wht",="qaly_loss_plwd_5564",="qaly_loss_plwd_6574",="qaly_loss_plwd_65p",="qaly_loss_plwd_7584",="qaly_loss_plwd_85p",="qaly_loss_plwd_Age55l",="qaly_loss_plwd_all",="qaly_loss_plwd_blk",="qaly_loss_plwd_f",="qaly_loss_plwd_his",="qaly_loss_plwd_m",="qaly_loss_plwd_wht",="earnings_loss_plwd_5564",="earnings_loss_plwd_6574",="earnings_loss_plwd_65p",="earnings_loss_plwd_7584",="earnings_loss_plwd_85p",="earnings_loss_plwd_Age55l",="earnings_loss_plwd_all",="earnings_loss_plwd_blk",="earnings_loss_plwd_f",="earnings_loss_plwd_his",="earnings_loss_plwd_m",="earnings_loss_plwd_wht"
="2.year_inc",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="4.year_inc",="-1038020.9",="342323.5",="3139380.7",="2055668.8",="741388.4",="2439659.2",="377939.1",="1658319.4",="1346316.7",="1195228.7",="601601.3",="332906.5",="1093342.5",="866491.4",="0.000125",="-0.000149",="-0.00546",="-0.00796",="-0.0245",="-0.00292",="-0.00579",="-0.00339",="-0.00482",="-0.00237",="-0.00235",="-5788.0",="-3972.1",="-334162.5",="-162246.8",="-167945.7",="5319.0",="-334632.8",="-65432.6",="-209183.7",="-51148.3",="-125449.2",="-218050.4",="0.00220",="-0.00504",="-0.0147",="-0.0222",="-0.0432",="-0.00774",="-0.00788",="-0.00575",="-0.00826",="-0.00730",="-0.0102",="-0.0109",="-0.00716",="-0.00906",="-1573.8",="-180597.5",="-830121.6",="-398396.2",="-251127.9",="-791970.2",="-42476.4",="-364347.0",="-460437.5",="79173.8",="7857.7",="-75781.0",="-331532.7",="-828667.6",="-543.0",="-5170.8",="-78391.9",="-6848.8",="-66373.6",="-90.00",="-79023.3",="-11638.2",="-52039.2",="-5173.9",="-26986.2",="-62211.5",="-9258203.0",="14230786.4",="-401235115.6",="-128939969.9",="-286525960.5",="14042296.0",="-396451036.7",="-76610743.2",="-202747639.6",="-141927667.8",="-193703340.3",="-177912694.0",="-177612362.0",="-170208032.2",="-1.49637e+10",="-6.19974e+09",="-8.59377e+09",="64392937.0",="-1.50769e+10",="-2.99257e+09",="-9.01061e+09",="-1.81133e+09",="-6.06632e+09",="-1.02730e+10",="13620358.0",="-14210777.7",="-7.15722e+09",="-3.82314e+09",="-3.31987e+09",="5269234.0",="-7.13833e+09",="-1.83530e+09",="-3.97004e+09",="-1.11018e+09",="-3.16829e+09",="-4.19284e+09",="-127072357.0",="2940222.0",="-3.74770e+09",="-704993477.2",="-3.04565e+09",="15562588.0",="-3.85921e+09",="-945087437.9",="-3.49181e+09",="-300452494.8",="-367397006.3",="-2.61367e+09",="-29867459.7",="-418559.9",="-3.33487e+09",="-968582257.4",="-2.36587e+09",="7014958.0",="-3.35772e+09",="-460577427.1",="-2.15829e+09",="-294831595.7",="-1.19943e+09",="-2.60232e+09",="3129278.7",="-9.68947e+09",="-4.52144e+10",="-2.17427e+10",="-1.37823e+10",="38201011.0",="-4.51731e+10",="-5.88575e+09",="-2.46382e+10",="-4.44354e+09",="-2.05349e+10",="-3.48438e+10",="-435899589.5",="-1.55567e+09",="-1.35423e+09",="111760603.9",="89674422.5",="-94189717.0",="-1.88432e+09",="-562230207.8",="-649333676.2",="-612328647.1",="-1.23499e+09",="-709763902.4"
="6.year_inc",="-1393162.1",="-136518.2",="5465211.8",="3547741.6",="2053988.3",="5295539.5",="814840.9",="3456276.2",="2920737.5",="2493167.8",="1247658.6",="807053.2",="2374802.1",="1987530.8",="0.000227",="-0.000154",="-0.00789",="-0.0108",="-0.0414",="-0.00424",="-0.00980",="-0.00503",="-0.00671",="-0.00334",="-0.00336",="-5546.0",="-6311.2",="-476429.5",="-219372.1",="-250745.1",="16591.0",="-465384.0",="-107037.4",="-299534.3",="-52974.5",="-165852.4",="-305372.1",="0.00383",="-0.00663",="-0.0189",="-0.0320",="-0.0584",="-0.00965",="-0.0113",="-0.00627",="-0.0111",="-0.0123",="-0.0155",="-0.0166",="-0.00799",="-0.0114",="31113.7",="-258253.1",="-963954.6",="-563604.6",="-142097.0",="-804780.9",="-14460.5",="-326682.1",="-537673.1",="206181.1",="62446.2",="-42280.4",="-267107.8",="-996501.6",="-44.00",="-6063.4",="-118482.1",="-8175.8",="-104245.5",="530.0",="-117993.3",="-14917.6",="-80390.5",="-8222.5",="-37602.5",="-94852.7",="4057509.9",="26466268.8",="-503971736.8",="-186512766.0",="-343925230.9",="-5525244.0",="-505439422.5",="-119722523.0",="-351498549.7",="-196054856.6",="-153940829.8",="-189662125.7",="-191284541.6",="-590307013.3",="-2.20592e+10",="-8.14344e+09",="-1.33254e+10",="196379200.0",="-2.20541e+10",="-4.85026e+09",="-1.39804e+10",="-2.09361e+09",="-8.07370e+09",="-1.51102e+10",="-10874249.0",="-355590559.0",="-1.05001e+10",="-5.00160e+09",="-5.14293e+09",="20321386.0",="-1.04907e+10",="-2.78686e+09",="-6.31928e+09",="-1.11594e+09",="-4.17139e+09",="-6.58786e+09",="-174051092.0",="253891261.8",="-5.82418e+09",="-1.06415e+09",="-5.01392e+09",="58540752.0",="-5.93969e+09",="-1.59050e+09",="-5.18974e+09",="-433252101.1",="-749952673.0",="-3.91594e+09",="-36638595.0",="-40125695.8",="-4.88847e+09",="-1.22584e+09",="-3.62250e+09",="19965792.0",="-4.90514e+09",="-837548068.2",="-3.31309e+09",="-423264309.9",="-1.59205e+09",="-3.64433e+09",="181409093.0",="-1.37048e+10",="-8.23493e+10",="-4.07094e+10",="-2.79351e+10",="35964942.0",="-8.21319e+10",="-1.10146e+10",="-4.59357e+10",="-8.21657e+09",="-3.61962e+10",="-6.29007e+10",="-877123650.4",="-956619929.5",="-2.81568e+09",="-1.84814e+09",="-10924920.2",="237095.0",="-3.69257e+09",="-494910257.4",="-887351390.6",="-508420423.3",="-2.80521e+09",="-2.68924e+09"
="8.year_inc",="-1409447.2",="-829754.1",="7634529.2",="4824918.0",="3639365.4",="8102666.7",="1218573.0",="5150243.2",="4418288.7",="3761172.8",="1866388.9",="1314391.5",="3684378.0",="3122920.8",="0.000366",="-0.000348",="-0.00893",="-0.0118",="-0.0514",="-0.00477",="-0.0122",="-0.00559",="-0.00715",="-0.00385",="-0.00379",="-301.0",="-16957.5",="-519778.4",="-231332.4",="-271487.6",="25077.0",="-494999.7",="-128837.5",="-316576.8",="-29375.8",="-178424.2",="-336785.6",="0.00566",="-0.00522",="-0.0184",="-0.0331",="-0.0720",="-0.00873",="-0.0108",="-0.00549",="-0.00984",="-0.0133",="-0.0169",="-0.0198",="-0.00744",="-0.0112",="100633.6",="-230285.5",="-736382.8",="-510919.3",="4822.0",="-442372.8",="66506.2",="-187497.8",="-329863.3",="399873.3",="148615.5",="32446.4",="-112509.5",="-908752.3",="-464.0",="-6561.7",="-145652.5",="-18367.8",="-120723.4",="159.0",="-145955.6",="-22869.9",="-106291.5",="-8658.7",="-39663.9",="-114424.7",="20558324.8",="55353495.4",="-501172721.5",="-250886751.2",="-305639443.5",="12664509.0",="-467949894.6",="-114190201.2",="-291911104.2",="-74416422.7",="-176038740.7",="-279343324.0",="-165075187.0",="-1.23426e+09",="-2.44815e+10",="-8.85089e+09",="-1.43964e+10",="255735048.0",="-2.43909e+10",="-6.07162e+09",="-1.59254e+10",="-1.42255e+09",="-8.46547e+09",="-1.68967e+10",="21543114.7",="-834206283.8",="-1.08289e+10",="-5.01319e+09",="-4.98154e+09",="22958676.0",="-1.07844e+10",="-3.23721e+09",="-6.70042e+09",="-1.06709e+09",="-4.08402e+09",="-6.48014e+09",="-174861005.0",="-628277164.4",="-8.63204e+09",="-1.99149e+09",="-6.01228e+09",="92989000.0",="-8.71392e+09",="-1.91165e+09",="-7.03529e+09",="-1.01353e+09",="-1.67862e+09",="-5.78873e+09",="-30564659.7",="-123915272.0",="-5.69446e+09",="-1.45339e+09",="-4.11716e+09",="27112929.0",="-5.69792e+09",="-1.11923e+09",="-3.93391e+09",="-198259670.6",="-1.76400e+09",="-4.38043e+09",="-7102335.4",="-1.40773e+10",="-1.09607e+11",="-5.70775e+10",="-3.84525e+10",="91656282.0",="-1.09523e+11",="-1.49381e+10",="-6.10511e+10",="-1.16644e+10",="-4.84716e+10",="-8.29202e+10",="-394256813.8",="-1.28633e+09",="-4.41987e+09",="-2.95013e+09",="-183403084.5",="-91448116.0",="-4.90557e+09",="-528630538.2",="-842732503.2",="-860715228.9",="-4.06284e+09",="-3.51622e+09"
="10.year_inc",="-1264229.4",="-1201392.2",="9837331.1",="5970063.5",="5068659.8",="10628525.1",="1616969.7",="6580067.9",="5793875.5",="5027721.4",="2486801.7",="1843865.1",="4834649.5",="3983834.0",="0.000652",="-0.000324",="-0.00952",="-0.0130",="-0.0563",="-0.00501",="-0.0127",="-0.00614",="-0.00776",="-0.00371",="-0.00408",="12408.0",="-17712.4",="-529848.8",="-254167.8",="-257966.0",="27137.0",="-490304.4",="-122707.6",="-337128.0",="-10557.2",="-153176.6",="-357039.5",="0.00714",="-0.00257",="-0.0147",="-0.0324",="-0.0708",="-0.00614",="-0.0110",="-0.00285",="-0.00853",="-0.0128",="-0.0173",="-0.0183",="-0.00339",="-0.00897",="171519.7",="-145366.3",="-252410.5",="-411163.5",="304119.3",="133597.4",="133950.1",="97327.3",="-120440.5",="625575.6",="246204.2",="188470.7",="254037.9",="-625928.3",="-190.0",="-5022.6",="-140207.6",="-14627.5",="-120555.4",="814.0",="-139580.4",="-20854.9",="-114009.7",="-8377.5",="-25571.6",="-110349.4",="47297227.4",="15963882.3",="-670083497.5",="-385321899.3",="-300725525.6",="5164903.0",="-617621465.6",="-130916553.6",="-483600594.4",="-202790387.5",="-134020821.8",="-283914555.6",="78768509.5",="-1.01954e+09",="-2.37634e+10",="-9.14183e+09",="-1.36020e+10",="307389962.0",="-2.33772e+10",="-5.35577e+09",="-1.64095e+10",="-1.04207e+09",="-6.96772e+09",="-1.69794e+10",="51434874.1",="-642732467.1",="-1.10246e+10",="-5.23085e+09",="-5.15099e+09",="9751855.0",="-1.09634e+10",="-2.99087e+09",="-6.72977e+09",="-644495004.0",="-4.23360e+09",="-7.32801e+09",="-54223851.7",="-549456535.3",="-8.71904e+09",="-2.40778e+09",="-5.76180e+09",="108127662.0",="-8.66514e+09",="-2.17030e+09",="-7.15572e+09",="-876276321.5",="-1.50942e+09",="-5.61856e+09",="6221388.9",="-110693210.3",="-5.34812e+09",="-1.44704e+09",="-3.79039e+09",="34624445.0",="-5.30727e+09",="-946362435.5",="-4.20505e+09",="-218569080.3",="-1.10222e+09",="-4.14234e+09",="-319225085.2",="-1.44162e+10",="-1.30353e+11",="-6.84031e+10",="-4.75338e+10",="88399599.0",="-1.30584e+11",="-1.84374e+10",="-7.35854e+10",="-1.52450e+10",="-5.69986e+10",="-9.69016e+10",="-808025321.2",="-1.67286e+09",="-5.44775e+09",="-3.61863e+09",="-156253594.9",="-64950476.0",="-6.32072e+09",="-673422732.4",="-1.16525e+09",="-1.23447e+09",="-5.15547e+09",="-4.41283e+09"
="12.year_inc",="-408648.6",="-2063064.9",="11180440.9",="6562089.3",="6681416.5",="13083130.1",="2031831.7",="7877534.5",="7099988.5",="6269170.3",="3092039.6",="2382991.7",="5983141.6",="4782128.1",="0.000702",="-0.000379",="-0.00929",="-0.0130",="-0.0592",="-0.00484",="-0.0129",="-0.00586",="-0.00849",="-0.00367",="-0.00380",="23781.0",="-23726.8",="-485064.6",="-245937.7",="-215398.5",="31498.0",="-429786.1",="-112709.3",="-296518.4",="3525.4",="-133269.6",="-320599.7",="0.00768",="-0.000281",="-0.0107",="-0.0301",="-0.0711",="-0.00338",="-0.0106",="-0.000859",="-0.00616",="-0.0102",="-0.0175",="-0.0114",="-0.000202",="-0.00700",="271338.0",="-98085.6",="213868.2",="-297897.7",="609851.5",="739837.6",="215529.2",="329511.6",="164760.4",="898306.5",="342795.9",="437149.8",="575077.1",="-373998.1",="1774.0",="-5539.3",="-133004.9",="-17951.5",="-109514.7",="-131.0",="-131359.1",="-20276.0",="-97744.1",="-9825.7",="-33614.6",="-101258.0",="53162323.3",="-16951729.2",="-368864759.9",="-185623512.8",="-166289465.6",="2357230.0",="-313345204.6",="-83834069.2",="-288088348.7",="-50000826.8",="-25256847.4",="-179510299.1",="339339224.2",="-1.16658e+09",="-2.10218e+10",="-9.18773e+09",="-1.06675e+10",="363055242.0",="-2.03194e+10",="-5.34787e+09",="-1.38610e+10",="-611933923.9",="-6.45840e+09",="-1.43596e+10",="101247942.3",="-790478712.6",="-9.48874e+09",="-5.36806e+09",="-3.33021e+09",="11577524.0",="-9.37592e+09",="-2.92543e+09",="-5.82234e+09",="-659427382.6",="-3.55358e+09",="-5.79106e+09",="14604180.7",="-102436591.2",="-7.19815e+09",="-2.09098e+09",="-5.00473e+09",="74415200.0",="-7.10913e+09",="-1.99875e+09",="-6.35885e+09",="-612885642.0",="-750282194.5",="-4.49749e+09",="41387408.3",="-138712223.8",="-4.85839e+09",="-1.51441e+09",="-3.20527e+09",="35202050.0",="-4.78180e+09",="-995628076.7",="-3.48343e+09",="-165373145.9",="-1.29837e+09",="-3.62080e+09",="-50307766.2",="-1.31486e+10",="-1.45093e+11",="-7.56744e+10",="-5.62695e+10",="125094525.0",="-1.45018e+11",="-2.10903e+10",="-8.22105e+10",="-1.72286e+10",="-6.28072e+10",="-1.06699e+11",="-106278525.3",="-2.83538e+09",="-8.66829e+09",="-5.60543e+09",="-227477056.6",="231710225.0",="-8.54286e+09",="-870268870.2",="-1.45433e+09",="-2.00915e+09",="-7.08853e+09",="-5.66344e+09"
="14.year_inc",="669880.0",="-2897770.0",="12140155.3",="6850777.2",="8187148.1",="15642508.7",="2531677.9",="9176771.7",="8437391.3",="7524207.1",="3704262.2",="3019786.9",="7205117.4",="5586623.6",="0.000721",="-0.000452",="-0.00880",="-0.0132",="-0.0598",="-0.00450",="-0.0128",="-0.00592",="-0.00888",="-0.00289",="-0.00344",="36433.0",="-30134.4",="-422284.3",="-248008.5",="-144139.7",="42087.0",="-343763.1",="-94050.8",="-280425.4",="24601.4",="-63341.7",="-274313.2",="0.00802",="0.000263",="-0.00712",="-0.0281",="-0.0682",="-0.000811",="-0.00602",="0.00130",="-0.00293",="-0.00990",="-0.0152",="-0.0127",="0.00161",="-0.00544",="384882.5",="-115073.7",="626189.0",="-211898.3",="953161.0",="1340265.9",="379805.9",="580518.0",="523707.1",="1120802.9",="472069.5",="573319.2",="816558.8",="-160342.9",="-136.0",="-7429.5",="-124190.2",="-20650.5",="-96113.3",="18.00",="-124308.8",="-20703.7",="-95652.6",="-9346.6",="-28655.8",="-94258.4",="50435282.6",="-74146902.7",="-560738753.1",="-300345309.2",="-186246503.2",="10297782.0",="-500005788.4",="-75740202.1",="-425330452.2",="-68429372.6",="-74675250.5",="-355836051.9",="404599576.7",="-1.49440e+09",="-1.83267e+10",="-9.70883e+09",="-7.12352e+09",="463792697.0",="-1.74584e+10",="-4.72031e+09",="-1.35258e+10",="-8225739.2",="-3.93252e+09",="-1.27298e+10",="88398755.0",="-751755585.6",="-7.82260e+09",="-5.34159e+09",="-1.72925e+09",="10795621.0",="-7.72340e+09",="-2.64317e+09",="-5.92098e+09",="-250639647.9",="-1.80243e+09",="-4.82960e+09",="119558722.8",="-264504496.8",="-7.05384e+09",="-1.48090e+09",="-5.30844e+09",="178763055.0",="-6.75552e+09",="-2.03194e+09",="-6.08376e+09",="-106051317.9",="-671756162.0",="-4.61753e+09",="40794954.9",="-227864099.2",="-4.23261e+09",="-1.71199e+09",="-2.29276e+09",="48329359.0",="-4.14349e+09",="-871688708.8",="-3.26054e+09",="29550247.3",="-882944751.9",="-3.30135e+09",="32405789.6",="-1.55547e+10",="-1.53604e+11",="-7.68506e+10",="-6.11985e+10",="103777475.0",="-1.53468e+11",="-2.32889e+10",="-8.70103e+10",="-1.99056e+10",="-6.64573e+10",="-1.10273e+11",="941943249.3",="-1.79774e+09",="-8.36667e+09",="-6.38782e+09",="-181122891.8",="-164569656.0",="-7.58930e+09",="-1.11373e+09",="-1.84993e+09",="-584485034.4",="-5.73938e+09",="-5.89109e+09"
="16.year_inc",="1890493.8",="-3185854.3",="12855599.1",="6489515.6",="9551937.8",="18551883.0",="3147464.3",="10605316.8",="9949321.2",="8912382.0",="4393071.4",="3747555.6",="8602561.7",="6492036.6",="0.000849",="0.000190",="-0.00646",="-0.0109",="-0.0569",="-0.00310",="-0.0122",="-0.00416",="-0.00637",="-0.00188",="-0.00238",="55259.0",="-8675.8",="-208537.4",="-181133.2",="-18727.2",="58124.0",="-95153.7",="-62408.9",="-121305.6",="123554.6",="26150.2",="-156298.4",="0.00837",="0.000967",="-0.00442",="-0.0262",="-0.0691",="0.00136",="-0.00105",="0.00453",="-0.000345",="-0.0134",="-0.0195",="-0.0166",="0.00330",="-0.00366",="513024.4",="-103181.0",="955169.8",="-166115.2",="1224466.0",="1926650.4",="576448.8",="937182.1",="855885.6",="1267577.4",="528686.2",="684800.8",="1070764.8",="82624.2",="-670.0",="-4975.1",="-115629.2",="-23365.4",="-87288.2",="583.0",="-115713.8",="-16654.6",="-68386.4",="-10939.4",="-47329.5",="-88119.7",="114295107.3",="10242913.5",="-25633433.4",="-104300398.4",="68424111.4",="38131435.0",="126793151.9",="-99974071.7",="-6659437.8",="223628991.5",="133452570.0",="3138046.0",="691252621.5",="-715858880.6",="-1.06431e+10",="-7.76203e+09",="-2.16518e+09",="668676229.0",="-9.28314e+09",="-3.42426e+09",="-6.57544e+09",="3.00160e+09",="-2.70770e+09",="-8.86048e+09",="115000508.5",="-620486919.1",="-3.37400e+09",="-4.38276e+09",="1.62925e+09",="30882469.0",="-3.22812e+09",="-1.98641e+09",="-2.44361e+09",="1.74299e+09",="-784501572.9",="-2.98469e+09",="134002945.8",="188765066.6",="-7.38311e+09",="-2.70720e+09",="-4.86467e+09",="201389618.0",="-7.04772e+09",="-2.17153e+09",="-4.74439e+09",="-236756494.4",="-2.30332e+09",="-4.63943e+09",="62855319.8",="-25145558.9",="-2.87309e+09",="-1.23495e+09",="-1.61299e+09",="70281702.0",="-2.73995e+09",="-659806599.5",="-1.78881e+09",="368147067.0",="-951136444.9",="-2.44829e+09",="345693534.0",="-1.46143e+10",="-1.54859e+11",="-7.70881e+10",="-6.31571e+10",="128129359.0",="-1.54386e+11",="-2.33911e+10",="-8.72903e+10",="-2.04238e+10",="-6.70954e+10",="-1.10571e+11",="365183558.9",="-1.36495e+09",="-7.04112e+09",="-5.46082e+09",="-215357909.5",="303393573.0",="-6.37255e+09",="-706307511.6",="-2.26902e+09",="-764941089.0",="-4.10353e+09",="-4.90130e+09"
="18.year_inc",="3157205.7",="-3120624.7",="13551412.2",="5963901.3",="10708135.6",="21023937.2",="3710680.1",="11694110.2",="11174489.0",="10292274.3",="5056676.1",="4474952.7",="9849448.2",="7020982.8",="0.000949",="-0.000432",="-0.00682",="-0.0128",="-0.0568",="-0.00325",="-0.0109",="-0.00418",="-0.00794",="-0.00219",="-0.00260",="73768.0",="-30455.8",="-218495.9",="-243180.1",="55142.1",="68495.0",="-76233.6",="-21187.9",="-101730.8",="116742.8",="25496.7",="-171788.4",="0.00927",="0.000507",="0.000516",="-0.0216",="-0.0600",="0.00490",="-0.000269",="0.00781",="0.00304",="-0.0110",="-0.0172",="-0.0120",="0.00700",="-0.000759",="669560.3",="-116211.1",="1459412.2",="-61439.5",="1637062.8",="2680569.2",="694377.1",="1284454.9",="1232337.0",="1569173.9",="667410.3",="950136.9",="1448232.1",="417018.2",="412.0",="-5221.1",="-118740.0",="-14181.6",="-99338.0",="21.00",="-118306.3",="-6953.7",="-84562.2",="-7727.5",="-33744.2",="-103624.1",="111586408.1",="29875389.1",="44978304.8",="-334955062.9",="350057944.0",="41288121.0",="197852841.6",="36529822.0",="-80135135.7",="253275616.7",="277987884.9",="-91952708.3",="957540699.1",="-1.36225e+09",="-1.15496e+10",="-9.86492e+09",="-322399488.9",="777356268.0",="-9.81467e+09",="-1.82176e+09",="-7.08190e+09",="2.05920e+09",="-2.73278e+09",="-1.00521e+10",="92369257.1",="-895527316.6",="-4.11433e+09",="-6.04338e+09",="2.82458e+09",="54839619.0",="-3.96712e+09",="-1.42240e+09",="-2.66112e+09",="690879504.0",="-1.30600e+09",="-3.23560e+09",="327534792.3",="-385122430.2",="-5.69192e+09",="-1.55582e+09",="-3.75098e+09",="305933401.0",="-5.05846e+09",="-889164350.5",="-3.89401e+09",="-349240796.5",="-1.16444e+09",="-3.82005e+09",="97580069.8",="-166242512.0",="-3.01062e+09",="-1.46198e+09",="-1.38240e+09",="77409057.0",="-2.83563e+09",="-286425805.6",="-2.02207e+09",="378359538.4",="-813561426.6",="-2.92757e+09",="392166798.7",="-1.49495e+10",="-1.50522e+11",="-7.56769e+10",="-5.98954e+10",="260245098.0",="-1.49869e+11",="-2.34737e+10",="-8.36704e+10",="-2.02463e+10",="-6.61991e+10",="-1.06149e+11",="1.78916e+09",="-1.02844e+09",="-6.53993e+09",="-4.97542e+09",="-536067066.3",="195492255.0",="-4.55528e+09",="16711883.0",="-1.72988e+09",="-1.27030e+09",="-2.82539e+09",="-3.30169e+09"
